,suburb,avgpricepersuburb,count,max_priceperbedroom,min_priceperbedroom,count_rank,annotations_bubble_plot
0,ABBOTSFORD,85.77884615,208,400,20.33333333,15,
1,ABERFELDIE,62.33333333,3,75,37,304,
2,AIRPORT WEST,63.99122807,19,148,30,122,
3,ALBERT PARK,121.9481132,53,295,50,56,
4,ALBION,30,2,30,30,327,
5,ALPHINGTON,69.99462366,31,136,39,82,
6,ALTONA,64.83653846,26,150,24,103,
7,ALTONA MEADOWS,52.35606061,11,116.6666667,6,179,
8,ALTONA NORTH,55.83333333,14,79.66666667,46,149,
9,ARMADALE,84.84929078,47,170,30,62,
10,ARMADALE NORTH,140,1,140,140,359,
11,ASCOT VALE,65.22727273,55,180,19,54,
12,ASHBURTON,54.79166667,12,71,40,169,
13,ASHWOOD,67.75,7,100,37.5,220,
14,ASPENDALE,126.3958333,12,277,37.5,170,
15,ATTWOOD,56.2,1,56.2,56.2,360,
16,AVONDALE HEIGHTS,28,3,30,25,305,
17,BADGER CREEK,150,16,270,59,138,
18,BALACLAVA,105.129386,76,999,30,39,
19,BALWYN,58.90238095,35,132,14,76,
20,BALWYN NORTH,60.08950617,27,115,24,97,
21,BANGHOLME,750,1,750,750,361,
22,BAYLES,32.5,1,32.5,32.5,362,
23,BAYSWATER,54.68333333,10,105.3333333,16.5,191,
24,BAYSWATER NORTH,34.5,3,46,17.5,306,
25,BEACONSFIELD,49.83333333,2,58,41.66666667,328,
26,BEACONSFIELD UPPER,192.25,2,300,84.5,329,
27,BEAUMARIS,92.66025641,13,148.75,62.75,158,
28,BELGRAVE,102.5104167,16,249,28,139,
29,BELGRAVE HEIGHTS,117.5,4,210,45,278,
30,BENTLEIGH,57.41049383,27,112.5,19,98,
31,BENTLEIGH EAST,61.13888889,27,100,15,99,
32,BERWICK,62.125,24,251,18.5,110,
33,BIG PATS CREEK,47.5,1,47.5,47.5,363,
34,BLACK ROCK,94.89393939,11,180,60,180,
35,BLACKBURN,52.28010753,31,125,15.33333333,83,
36,BLACKBURN NORTH,49.64285714,7,66.33333333,37.5,221,
37,BLACKBURN SOUTH,44.0625,8,65,24,211,
38,BONBEACH,62.6372549,17,98.33333333,18,132,
39,BORONIA,52.63888889,12,96,16.66666667,171,
40,BOX HILL,75.29918033,122,155,25,28,
41,BOX HILL NORTH,54.05631313,66,145,18.33333333,44,
42,BOX HILL SOUTH,51.72916667,24,91,11.66666667,111,
43,BRAYBROOK,48.41111111,15,100,27.25,142,
44,BRIAR HILL,98,1,98,98,364,
45,BRIGHTON,101.9246988,83,287.5,20,34,
46,BRIGHTON EAST,68.66369048,28,212.5,21,92,
47,BROADMEADOWS,36.78030303,11,75,8.333333333,181,
48,BROOKFIELD,79,1,79,79,365,
49,BROOKLYN,50,2,50,50,330,
50,BRUNSWICK,70.92325228,329,161,23,8,
51,BRUNSWICK EAST,100.3316976,131,599,25,26,
52,BRUNSWICK WEST,61.05555556,63,127,25,47,
53,BULLA,50.81666667,2,54.8,46.83333333,331,
54,BULLEEN,88.97058824,17,300,32,133,
55,BUNDOORA,52.4781746,42,150,11.66666667,66,
56,BUNYIP,63.33333333,1,63.33333333,63.33333333,366,
57,BURNLEY,98.5,8,145.5,49,212,
58,BURNSIDE HEIGHTS,16,1,16,16,367,
59,BURWOOD,52.51282051,39,148,26.5,69,
60,BURWOOD EAST,52.35833333,12,80,28,172,
61,CAIRNLEA,48.5,4,71,39,279,
62,CAMBERWELL,79.90625,56,362.25,20,53,
63,CANTERBURY,75.34027778,12,161,46,173,
64,CARDINIA,54.875,2,60,49.75,332,
65,CARLTON,86.13346354,384,251,15.33333333,7,
66,CARLTON NORTH,80.98069106,82,275,15,35,
67,CARNEGIE,57.48275862,58,105,13.33333333,51,
68,CAROLINE SPRINGS,79.83333333,15,249,30,143,
69,CARRUM,48.9,10,96,26,192,
70,CARRUM DOWNS,54,1,54,54,368,
71,CAULFIELD,70.92753623,23,138,35,114,
72,CAULFIELD EAST,72,6,100,28,238,
73,CAULFIELD NORTH,76.24600939,71,186,25,40,
74,CAULFIELD SOUTH,87.29166667,36,251,15.33333333,73,
75,CHADSTONE,50.27564103,13,90,25,159,
76,CHELSEA,74.56944444,6,150,30,239,
77,CHELSEA HEIGHTS,54.88888889,3,76,42,307,
78,CHELTENHAM,61.80921053,38,120,0,70,
79,CHIRNSIDE PARK,78.35,10,99,60,193,
80,CHRISTMAS HILLS,156.6333333,4,300.2,73.33333333,280,
81,CHUM CREEK,139.6439394,11,250,80,182,
82,CLARINDA,38.77777778,3,50,30,308,
83,CLAYTON,54.31779661,59,170,8.333333333,50,
84,CLAYTON SOUTH,67.11111111,9,105,25,199,
85,CLEMATIS,71,1,71,71,369,
86,CLIFTON HILL,87.87962963,54,180,46,55,
87,CLYDE NORTH,68.875,4,92,25,281,
88,COBURG,60.09866071,80,150,17.5,36,
89,COBURG NORTH,48.76041667,16,80,18,140,
90,COCKATOO,138.4487179,13,280,32,160,
91,COLDSTREAM,94.4,5,164.5,57.5,258,
92,COLLINGWOOD,99.29288703,239,660,26,11,
93,CORA LYNN,180,1,180,180,370,
94,COTTLES BRIDGE,94.5,2,120,69,333,
95,CRAIGIEBURN,41.75666667,25,83.66666667,22,107,
96,CRANBOURNE,100,2,150,50,334,
97,CRANBOURNE EAST,46.46428571,7,62,34.5,222,
98,CRANBOURNE NORTH,53.13888889,9,90,12.75,200,
99,CRANBOURNE SOUTH,41.25,1,41.25,41.25,371,
100,CRANBOURNE WEST,53.5,6,84,18,240,
101,CREMORNE,96.82777778,30,163.3333333,34.5,84,
102,CROYDON,51.72222222,9,71,34.5,201,
103,CROYDON NORTH,66.70833333,12,114,20,174,
104,CROYDON SOUTH,45,2,50,40,335,
105,DALLAS,35,1,35,35,372,
106,DANDENONG,75.34057971,23,114,15.33333333,115,
107,DANDENONG NORTH,57.125,4,100,26,282,
108,DANDENONG RANGES,194,7,245,145,223,
109,DANDENONG SOUTH,74.16666667,2,78.33333333,70,336,
110,DEER PARK,30,1,30,30,373,
111,DELAHEY,30,1,30,30,374,
112,DERRIMUT,46,3,46,46,309,
113,DIAMOND CREEK,63.6,5,98,45,259,
114,DIGGERS REST,128.75,6,220,39.5,241,
115,DIXONS CREEK,250.8,5,280,199,260,
116,DOCKLANDS,112.1821862,494,999,19,5,
117,DON VALLEY,147.1666667,3,220,96,310,
118,DONCASTER,75.51479592,98,201,0,32,
119,DONCASTER EAST,73.34567901,27,251,17.5,100,
120,DONVALE,61.3,5,84.5,43,261,
121,DOREEN,47.35,5,75,23.66666667,262,
122,EAGLEMONT,88.61111111,6,162.75,41.66666667,242,
123,EAST DONCASTER,117.625,4,162,70.5,283,
124,EAST MELBOURNE,108.9131455,142,316.6666667,24,21,
125,EAST WARBURTON,129.8666667,5,300,37.5,263,
126,EDEN PARK,54.5,1,54.5,54.5,375,
127,EDITHVALE,69.34259259,9,130,37.5,202,
128,ELSTERNWICK,76.70352564,52,199,25,59,
129,ELTHAM,88.79411765,17,161,22,134,
130,ELTHAM NORTH,58,2,96,20,337,
131,ELWOOD,87.7748538,228,347.5,25,12,
