year,month,count
2011,January,5
2011,February,9
2011,March,24
2011,April,22
2011,May,20
2011,June,21
2011,July,19
2011,August,27
2011,September,31
2011,October,41
2011,November,52
2011,December,50
2012,January,61
2012,February,55
2012,March,77
2012,April,59
2012,May,63
2012,June,51
2012,July,73
2012,August,73
2012,September,93
2012,October,122
2012,November,141
2012,December,126
2013,January,187
2013,February,150
2013,March,252
2013,April,158
2013,May,154
2013,June,176
2013,July,299
2013,August,256
2013,September,249
2013,October,357
2013,November,396
2013,December,496
2014,January,627
2014,February,504
2014,March,682
2014,April,624
2014,May,535
2014,June,592
2014,July,743
2014,August,876
2014,September,899
2014,October,1412
2014,November,1410
2014,December,1348
2015,January,1730
2015,February,1921
2015,March,2448
2015,April,1826
2015,May,1695
2015,June,1950
2015,July,2630
2015,August,2532
2015,September,2425
2015,October,3689
2015,November,4097
2015,December,4425
2016,January,5364
2016,February,5580
2016,March,5645
2016,April,4984
2016,May,5125
2016,June,4707
2016,July,6377
2016,August,6210
2016,September,6589
2016,October,8916
2016,November,9109
2016,December,9453
2017,January,11695
2017,February,9662
2017,March,12205
2017,April,11705
2017,May,9413
2017,June,10233
2017,July,11981
2017,August,11317
2017,September,11988
2017,October,14752
2017,November,14790
2017,December,16534
2018,January,18981
2018,February,16606
2018,March,21252
2018,April,17897
2018,May,14513
2018,June,16253
2018,July,20292
2018,August,18765
2018,September,19838
2018,October,25209
2018,November,24402
2018,December,2497
